,mzmin,mzmax,mzmed,rtmin,rtmax,rtmed,area
753,191.0825,191.0835,191.0831,142.823,156.796,143.738,42013.05712549996
754,191.0909,191.0916,191.0916,198.817,226.435,213.668,27683.002917149995
755,191.0907,191.0924,191.0907,154.893,169.4,154.893,22947.931741750002
756,191.1207,191.1234,191.1209,551.304,574.053,568.152,47729.985310150034
757,191.1456,191.1463,191.1461,1470.09,1502.43,1472.9,84563.72678500033
758,191.1788,191.1796,191.1791,194.618,216.808,215.759,20884.16274845
759,192.0549,192.0553,192.0551,122.872,126.493,124.672,56526.11244309989
760,192.0861,192.0869,192.0867,171.379,179.327,173.346,15166.732987300014
761,192.0902,192.0908,192.0903,1247.16,1277.78,1272.72,43891.168792999866
762,192.0994,192.1017,192.0994,481.706,515.628,515.628,41896.662751250034
763,192.1226,192.1235,192.1227,264.552,292.787,271.022,27221.61453644996
764,192.1315,192.1339,192.1315,736.859,752.76,737.883,14898.206524299949
765,192.1462,192.147,192.1463,307.279,338.407,338.407,27255.834558799983
766,192.1506,192.1508,192.1507,720.155,735.831,735.831,19302.848238150058
767,193.0286,193.0292,193.0286,212.581,228.55,219.979,15981.074503050022
768,193.0376,193.0386,193.0376,996.211,1019.87,996.211,31552.983838499997
769,193.0442,193.0463,193.0443,2021.82,2027.95,2023.87,8445.03231500018
770,193.0493,193.0498,193.0495,434.164,455.71,445.541,55017.09651145006
771,193.0689,193.0708,193.069,322.967,342.714,324.123,20843.33152180002
772,193.098,193.0987,193.0984,1238.16,1252.18,1242.2,36241.742724999924
773,193.1266,193.1273,193.1268,228.55,264.552,234.926,40898.301571300006
774,194.0055,194.0083,194.0072,376.715,411.667,389.837,31244.734822599996
775,194.0806,194.0812,194.0812,261.321,293.871,275.385,27564.567162449966
776,194.0935,194.0997,194.0995,585.437,602.959,596.921,32298.60728224986
777,194.106,194.1084,194.1063,560.349,579.221,575.056,32898.63933044992
778,194.123,194.1258,194.1232,1113.66,1122.61,1122.61,11355.99286299975
779,194.1465,194.1471,194.147,677.593,692.425,692.425,14991.621094299993
780,194.1581,194.1588,194.1585,607.883,627.438,622.129,44519.50622189995
781,194.9803,194.9816,194.981,196.711,233.881,196.711,33701.00078494998
782,195.0435,195.0445,195.044,343.839,370.59,345.994,23205.462675699982
783,195.0731,195.0741,195.0734,1088.75,1104.88,1089.63,117821.62778850026
784,195.0901,195.0912,195.0901,272.112,286.258,284.124,15800.980176349953
785,195.1118,195.1189,195.1174,290.594,312.87,296.068,17980.335157550013
786,195.1418,195.1426,195.1418,712.66,736.859,723.289,27886.816828400082
787,195.9888,195.9897,195.9891,180.341,192.559,181.352,23087.95205069998
788,196.0595,196.06,196.0595,122.872,125.579,122.872,15567.345401900006
789,196.0625,196.0696,196.0632,124.672,147.421,144.645,109852.37939999998
790,196.1022,196.1029,196.1022,1030.14,1055.71,1030.14,30721.843084499927
791,196.1017,196.1049,196.1025,1161.58,1176.41,1176.41,21658.51096650023
792,196.1098,196.1107,196.11,407.64,422.769,415.689,25513.74892825004
793,196.1183,196.1187,196.1184,184.395,205.24,185.391,31591.509670799987
794,196.1419,196.1425,196.1423,408.639,418.688,414.676,14651.217990649975
795,196.1626,196.1629,196.1626,979.491,996.211,993.309,28860.847554050062
796,197.0589,197.0598,197.0589,192.559,198.817,192.559,5972.60583300001
797,197.1013,197.1019,197.1018,823.428,835.582,823.428,22451.4187303
798,197.1019,197.1024,197.1023,509.379,519.756,519.756,13877.985653399928
799,197.1224,197.1227,197.1226,553.319,574.053,563.311,595848.1248076998
800,197.1265,197.1287,197.1285,829.38,863.643,842.813,44893.61985635001
801,197.1315,197.1328,197.1321,1169.49,1186.12,1169.49,23808.971375999816
802,197.1577,197.1583,197.1582,349.278,372.63,363.23,60066.09003439991
803,198.0534,198.0548,198.0546,294.975,322.967,299.447,18349.784098949975
804,198.0751,198.0755,198.0753,122.872,133.758,127.396,160616.2425109501
805,198.0892,198.0921,198.0892,150.202,166.451,153.007,47416.53619514998
806,198.12,198.1206,198.1206,345.994,362.197,351.444,16191.052376749978
807,198.1327,198.1344,198.1341,203.083,225.339,217.873,26757.474822950004
808,198.1484,198.15,198.1487,491.099,517.729,503.017,24372.36155540005
809,198.1564,198.157,198.1567,1415.45,1439.4,1435.49,43066.697169500214
810,198.9846,198.9857,198.9852,180.341,188.423,185.391,9387.65314229999
811,199.0358,199.0367,199.0361,126.493,135.592,126.493,43086.92889675011
812,199.0905,199.0908,199.0906,130.124,156.796,141.019,2010487.7380214003
813,199.1072,199.1075,199.1075,445.541,448.571,446.559,5618.143798800046
814,199.1112,199.1117,199.1113,1020.88,1030.14,1021.93,11632.13961500007
815,199.1178,199.1183,199.1179,623.182,640.307,630.63,29504.734362049956
816,199.1734,199.174,199.1736,296.068,320.721,296.068,22324.960099650012
817,199.1879,199.1885,199.1879,262.406,279.786,262.406,13447.393802699991
818,200.0577,200.0611,200.0608,610.791,645.683,610.791,35871.29354269988
819,200.0933,200.0951,200.0947,143.738,166.451,143.738,59859.01635749998
820,200.1358,200.1361,200.1359,192.559,225.339,193.581,26935.359652100004
821,200.1445,200.1453,200.145,173.346,194.618,181.352,50173.59694254998
822,200.1511,200.1516,200.1513,1448.17,1461.59,1455.89,32513.24131749981
823,200.1551,200.1562,200.1551,1163.55,1175.43,1175.43,14778.82710100014
824,200.1642,200.1644,200.1642,191.495,211.508,211.508,20801.85318160001
825,200.1831,200.1852,200.1834,332.898,350.365,349.278,16209.82678674999
826,200.5365,200.5369,200.5365,133.758,148.343,141.019,75802.92096139991
827,200.9833,200.9836,200.9834,716.884,755.857,755.857,44496.04102639995
828,201.0517,201.0526,201.052,657.501,682.892,671.251,27707.320382850063
829,201.0597,201.062,201.062,596.921,622.129,602.959,34969.26274824993
830,201.0758,201.076,201.0758,352.508,369.54,352.508,21056.604123550038
831,201.0886,201.0904,201.0903,1022.93,1051.54,1022.93,26488.245111500022
832,201.0873,201.0916,201.0891,130.124,151.136,141.019,70371.51564735
833,201.1059,201.1065,201.1062,132.854,156.796,132.854,178470.3555656498
834,201.1271,201.1275,201.1273,247.288,279.786,255.908,29000.832199399993
835,201.3244,201.3253,201.3248,124.672,142.823,137.407,71971.17624975003
836,202.1084,202.1108,202.1108,135.592,151.136,143.738,94889.05994454988
837,202.1107,202.1189,202.1107,134.677,145.575,139.224,81095.26106009987
838,202.1515,202.152,202.1515,203.083,225.339,209.399,18841.3251209
839,202.9978,203.0042,203.0042,122.872,130.124,127.396,28566.248914099982
840,203.0159,203.0179,203.0179,124.672,130.124,126.493,24431.91075019999
841,203.0585,203.0632,203.0596,122.872,137.407,124.672,198786.88294995017
842,203.068,203.0702,203.07,825.442,841.754,825.442,37880.25703859997
843,203.0673,203.0729,203.0706,122.872,127.396,125.579,31206.380501050007
844,203.0757,203.0775,203.0757,1356.49,1380.58,1380.58,27386.590960999903
845,203.0884,203.0895,203.0888,2134.47,2161.5,2136.5,31712.747833000278
846,203.0968,203.0986,203.0985,130.124,144.645,141.019,63045.3367123501
847,203.1462,203.1471,203.1468,1007.85,1041.32,1007.85,53292.21563099979
848,203.1639,203.1642,203.1641,1265.58,1274.73,1267.63,10478.130971000148
849,203.2004,203.2007,203.2005,1528.35,1533.2,1528.35,11706.355145500329
850,203.9713,203.9724,203.9716,1596.58,1613.96,1601.63,19413.264901000126
851,204.017,204.018,204.017,747.501,777.699,749.634,32052.60599304998
852,204.0553,204.0559,204.0555,215.759,234.926,224.291,21835.985958699996
853,204.0612,204.0625,204.0625,2122.52,2158.49,2127.48,47448.54855149977
854,204.0647,204.0664,204.0647,169.4,198.817,169.4,28520.3126163
855,204.0908,204.0945,204.0944,495.404,512.508,504.064,16873.80898100003
856,204.1051,204.1074,204.1056,130.124,147.421,141.019,265785.72462945
857,204.1106,204.1145,204.1145,166.451,185.391,171.379,46725.56274490002
858,204.1308,204.1318,204.1308,595.906,611.763,601.968,22889.50992620011
859,204.1301,204.1311,204.131,499.718,529.061,524.986,28427.668608650023
860,204.9788,204.9793,204.9793,154.893,159.635,159.635,17882.540745049955
861,205.0179,205.0206,205.02,125.579,137.407,132.854,83154.02754375011
862,205.0467,205.0476,205.0468,439.358,473.965,473.965,50021.317169199945
863,205.0494,205.0503,205.0502,122.872,133.758,122.872,71432.32390500007
864,205.0556,205.0558,205.0557,1819.12,1853.06,1853.06,32641.84124800003
865,205.0593,205.0602,205.0594,1741.27,1766.37,1741.27,29706.458422999895
866,205.0628,205.0677,205.067,685.027,721.215,697.422,51649.646197949995
867,205.0968,205.097,205.097,458.782,469.034,466.985,83530.33820775009
868,205.1065,205.1078,205.1066,672.288,701.418,697.422,30003.966342949963
869,205.1949,205.1953,205.1952,307.279,334.031,308.406,23409.02174195001
870,206.0228,206.0242,206.0236,203.083,242.121,205.24,52377.62518955
871,206.0634,206.0641,206.0638,122.872,127.396,122.872,34250.12905484999
872,206.0711,206.0737,206.0711,131.941,145.575,131.941,41818.11275694996
873,206.0887,206.0902,206.089,308.406,335.139,335.139,17494.87105465
874,206.1211,206.1249,206.1213,124.672,139.224,132.854,59778.12567549995
875,206.13,206.1304,206.1303,388.821,402.696,388.821,20663.915781399977
876,206.1451,206.1476,206.1472,1062.85,1080.15,1062.85,124791.12641300316
877,206.1566,206.1588,206.1585,836.596,842.813,841.754,7897.817572899992
878,206.1747,206.1751,206.1751,690.32,708.537,690.32,18780.28617609996
879,206.9947,206.996,206.9948,180.341,216.808,193.581,40496.531883149975
880,206.997,206.9998,206.9996,132.854,166.451,163.502,187474.41195699995
881,207.0299,207.0348,207.0348,122.872,136.499,136.499,69485.54571659995
882,207.0425,207.0482,207.0469,146.494,172.362,146.494,84450.40610654993
883,207.0533,207.054,207.0533,1629.38,1638.61,1638.61,9597.575998499782
884,207.0571,207.0574,207.0571,439.358,449.615,444.526,13747.283945750007
885,207.0757,207.077,207.0764,573.044,583.314,579.221,18783.851446949957
886,207.0821,207.0891,207.0844,126.493,145.575,136.499,87617.83163799996
887,207.1028,207.1067,207.1067,127.396,137.407,137.407,35162.78859870005
888,207.114,207.1145,207.1143,669.153,678.636,671.251,26224.953622349894
889,207.1136,207.1145,207.1144,500.836,517.729,517.729,16580.545534150027
890,207.1506,207.151,207.1508,1051.54,1055.71,1055.71,32262.279151999996
891,207.1853,207.1869,207.1853,1698.42,1709.98,1706.79,13558.676685999932
892,207.9658,207.9663,207.9658,226.435,243.152,238.054,14632.248732699984
893,207.9658,207.9666,207.966,273.195,280.857,273.195,6910.796730700032
894,208.0386,208.0395,208.0392,225.339,244.184,231.763,21480.446385000003
895,208.0927,208.0967,208.093,770.277,783.896,782.901,16973.47311594989
896,208.0993,208.1029,208.0995,985.505,998.113,996.211,20524.555665400178
897,208.1324,208.1333,208.1324,613.779,629.549,613.779,15222.55317439997
898,208.1382,208.139,208.1387,1370.45,1374.48,1373.49,6162.297518999956
899,208.141,208.1463,208.1455,363.23,396.779,386.855,47758.900443900005
900,208.167,208.1697,208.1697,1393.38,1413.5,1409.63,48657.9099639997
901,208.7384,208.7418,208.7417,729.498,763.046,748.578,107678.11690500018
902,208.9921,208.9925,208.9925,151.136,154.893,153.007,18197.036805200023
903,208.9958,208.9971,208.9958,500.836,522.867,508.32,19354.44996319996
904,209.0235,209.0237,209.0237,254.841,283.032,283.032,22698.781561349973
